Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 64,  5,  10,  2,  16,  1, 0 , 38.57
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 2,  80,  4,  8,  10,  2, 0 , 11.56
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 16,  1,  25,  16,  2,  8, 0 , 9.02
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 16,  4,  10,  20,  4,  2, 0 , 11.59
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 1,  4,  32,  25,  1,  32, 0 , 6.09
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 128,  1,  25,  1,  1,  32, 0 , 38.62
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 5,  2,  160,  2,  8,  4, 0 , 20.86
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 1,  160,  5,  4,  4,  8, 0 , 13.15
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 8,  4,  5,  4,  40,  4, 0 , 6.12
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 10,  5,  2,  4,  4,  64, 0 , 6.1
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 4,  16,  5,  8,  8,  5, 0 , 6.11
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 4,  4,  50,  8,  1,  16, 0 , 14.85
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 200,  8,  1,  1,  4,  16, 0 , 22.05
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 5,  20,  16,  1,  16,  4, 0 , 19.55
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 20,  1,  10,  8,  32,  2, 0 , 6.14
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 4,  5,  8,  8,  80,  1, 0 , 6.1
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 10,  1,  16,  2,  5,  64, 0 , 6.11
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 32,  10,  2,  10,  1,  16, 0 , 11.57
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 1,  8,  16,  8,  10,  10, 0 , 6.18
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 1,  2,  64,  16,  25,  2, 0 , 6.13
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 40,  80,  1,  4,  1,  8, 0 , 38.66
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 32,  1,  20,  8,  4,  5, 0 , 11.62
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 8,  5,  4,  16,  20,  2, 0 , 6.11
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 10,  8,  2,  4,  160,  1, 0 , 6.1
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 1,  128,  5,  16,  2,  5, 0 , 11.56
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 20,  16,  1,  10,  32,  1, 0 , 6.09
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 8,  40,  10,  2,  2,  8, 0 , 38.58
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 10,  10,  32,  2,  8,  2, 0 , 38.69
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 4,  32,  25,  2,  8,  2, 0 , 38.65
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 8,  4,  20,  4,  5,  8, 0 , 11.61
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 40,  4,  2,  40,  8,  1, 0 , 6.1
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 80,  1,  4,  32,  2,  5, 0 , 6.13
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 8,  2,  20,  40,  4,  2, 0 , 6.11
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 2,  40,  8,  1,  8,  20, 0 , 11.46
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 16,  10,  20,  1,  1,  32, 0 , 38.48
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 10,  10,  2,  8,  4,  16, 0 , 6.14
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 1,  8,  16,  2,  20,  20, 0 , 6.18
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 50,  16,  1,  4,  16,  2, 0 , 14.93
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 80,  5,  2,  2,  64,  1, 0 , 14.92
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 1,  4,  80,  10,  8,  4, 0 , 6.13
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 40,  2,  10,  4,  32,  1, 0 , 14.63
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 2,  16,  10,  1,  160,  2, 0 , 6.09
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 40,  5,  4,  16,  2,  4, 0 , 14.91
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 5,  8,  80,  2,  16,  1, 0 , 38.66
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 5,  4,  20,  64,  1,  4, 0 , 8.52
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 25,  8,  1,  1,  512,  1, 0 , 6.14
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 4,  160,  1,  10,  1,  16, 0 , 11.53
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 2,  20,  10,  4,  2,  32, 0 , 8.98
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 5,  5,  16,  2,  128,  1, 0 , 8.98
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 1,  8,  20,  16,  40,  1, 0 , 6.09
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 1,  200,  8,  1,  8,  8, 0 , 20.97
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 10,  10,  8,  1,  8,  16, 0 , 14.13
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 40,  1,  16,  16,  2,  5, 0 , 11.59
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 2,  2,  40,  40,  1,  16, 0 , 6.1
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 10,  1,  64,  4,  2,  20, 0 , 11.61
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 1,  2,  64,  10,  5,  16, 0 , 6.17
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 32,  100,  1,  2,  4,  4, 0 , 38.5
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 50,  1,  4,  64,  4,  2, 0 , 6.15
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 16,  20,  1,  4,  10,  8, 0 , 6.13
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 16,  2,  10,  8,  4,  10, 0 , 6.1
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 5,  4,  5,  1,  256,  4, 0 , 6.1
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 10,  2,  32,  10,  2,  8, 0 , 11.57
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 10,  4,  4,  8,  80,  1, 0 , 6.1
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 10,  80,  2,  1,  16,  4, 0 , 20.14
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 1,  16,  8,  4,  50,  4, 0 , 6.17
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 1,  32,  10,  8,  8,  5, 0 , 6.13
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 20,  4,  2,  80,  8,  1, 0 , 6.14
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 8,  1,  200,  16,  1,  4, 0 , 20.46
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 1,  20,  8,  2,  32,  10, 0 , 6.12
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 40,  1,  80,  16,  2,  1, 0 , 38.58
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 8,  2,  40,  8,  2,  10, 0 , 11.65
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 2,  20,  8,  8,  4,  10, 0 , 6.11
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 1,  1,  400,  4,  16,  4, 0 , 8.98
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 8,  10,  10,  16,  4,  2, 0 , 14.94
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 5,  4,  8,  10,  64,  1, 0 , 6.1
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 8,  10,  2,  32,  20,  1, 0 , 6.1
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 4,  1,  25,  32,  16,  2, 0 , 6.07
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 16,  10,  1,  64,  2,  5, 0 , 6.09
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 20,  1,  8,  4,  32,  5, 0 , 6.12
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 10,  1,  32,  2,  4,  40, 0 , 6.13
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 40,  5,  16,  4,  1,  8, 0 , 38.59
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 10,  20,  4,  1,  2,  64, 0 , 14.95
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 20,  2,  8,  5,  8,  8, 0 , 6.11
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 4,  8,  4,  20,  4,  10, 0 , 6.09
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 160,  4,  1,  10,  2,  8, 0 , 11.58
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 20,  4,  8,  20,  4,  2, 0 , 11.56
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 20,  8,  5,  2,  64,  1, 0 , 14.7
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 20,  16,  2,  8,  1,  20, 0 , 11.61
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 400,  2,  1,  2,  8,  8, 0 , 14.93
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 2,  1,  400,  1,  128,  1, 0 , 14.67
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 2,  2,  40,  1,  80,  8, 0 , 6.1
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 2,  4,  25,  32,  16,  1, 0 , 6.15
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 10,  20,  1,  8,  64,  1, 0 , 6.14
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 5,  20,  16,  1,  64,  1, 0 , 21.28
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 25,  2,  2,  4,  32,  8, 0 , 6.11
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 2,  1,  80,  5,  64,  2, 0 , 6.12
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 800,  1,  1,  1,  4,  32, 0 , 14.86
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 1,  10,  10,  32,  8,  4, 0 , 6.07
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 40,  1,  4,  10,  4,  16, 0 , 6.11
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 80,  2,  10,  8,  4,  2, 0 , 21.11
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 5,  64,  10,  1,  2,  16, 0 , 38.55
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 1,  25,  32,  8,  2,  8, 0 , 14.89
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 1,  32,  4,  2,  400,  1, 0 , 6.09
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 32,  2,  2,  25,  1,  32, 0 , 6.08
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 2,  2,  40,  4,  16,  10, 0 , 6.1
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 16,  4,  2,  1,  200,  4, 0 , 6.08
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 2,  20,  4,  160,  1,  4, 0 , 6.1
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 32,  2,  5,  16,  4,  5, 0 , 6.11
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 16,  5,  8,  5,  2,  16, 0 , 11.56
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 2,  4,  20,  40,  16,  1, 0 , 6.09
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 8,  20,  5,  1,  128,  1, 0 , 14.95
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 1,  8,  100,  4,  2,  16, 0 , 14.99
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 2,  10,  160,  2,  16,  1, 0 , 38.48
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 640,  5,  1,  2,  4,  4, 0 , 38.57
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 8,  10,  2,  1,  20,  32, 0 , 6.09
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 8,  1,  80,  1,  32,  5, 0 , 11.54
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 4,  50,  2,  128,  1,  2, 0 , 8.76
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 20,  5,  32,  1,  4,  8, 0 , 38.61
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 20,  10,  8,  1,  8,  8, 0 , 21.04
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 40,  1,  20,  1,  8,  16, 0 , 14.88
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 1,  80,  8,  2,  10,  8, 0 , 11.59
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 2,  160,  2,  32,  5,  1, 0 , 11.51
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 8,  1,  16,  8,  2,  50, 0 , 6.15
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 2,  8,  40,  16,  2,  5, 0 , 11.58
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 25,  4,  1,  8,  64,  2, 0 , 6.1
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 32,  20,  5,  8,  4,  1, 0 , 38.54
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 4,  20,  20,  1,  32,  2, 0 , 20.99
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 2,  100,  1,  4,  2,  64, 0 , 6.13
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 10,  8,  40,  2,  16,  1, 0 , 38.56
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 8,  20,  1,  8,  8,  10, 0 , 6.1
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 1,  16,  10,  1,  32,  20, 0 , 6.1
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 320,  1,  2,  2,  80,  1, 0 , 11.54
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 4,  8,  4,  25,  16,  2, 0 , 6.09
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 1,  50,  2,  128,  2,  4, 0 , 6.13
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 1,  8,  40,  4,  80,  1, 0 , 6.1
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 16,  2,  10,  16,  2,  10, 0 , 6.12
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 1,  10,  32,  2,  80,  2, 0 , 6.13
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 1,  1,  128,  400,  2,  1, 0 , 6.07
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 5,  128,  5,  2,  1,  16, 0 , 38.61
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 5,  1,  40,  4,  128,  1, 0 , 6.14
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 25,  1,  8,  4,  16,  8, 0 , 6.14
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 4,  16,  2,  5,  32,  5, 0 , 6.08
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 1,  20,  80,  2,  1,  32, 0 , 21.45
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 20,  16,  2,  5,  32,  1, 0 , 11.58
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 5,  4,  8,  4,  32,  5, 0 , 6.11
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 1,  50,  2,  64,  4,  4, 0 , 6.06
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 200,  1,  1,  2,  4,  64, 0 , 6.14
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 16,  1,  10,  16,  4,  10, 0 , 6.14
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 10,  2,  32,  80,  1,  2, 0 , 11.56
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 80,  5,  1,  2,  64,  2, 0 , 8.54
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 10,  16,  2,  5,  1,  64, 0 , 6.1
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 2,  4,  16,  5,  20,  8, 0 , 6.09
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 1,  640,  5,  4,  2,  4, 0 , 38.63
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 1,  40,  40,  32,  1,  2, 0 , 21.42
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 400,  1,  8,  1,  32,  1, 0 , 38.53
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 8,  20,  4,  8,  10,  2, 0 , 11.6
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 8,  4,  5,  64,  10,  1, 0 , 6.09
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 2,  40,  20,  4,  4,  4, 0 , 20.12
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 80,  1,  8,  20,  1,  8, 0 , 11.53
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 8,  10,  10,  8,  8,  2, 0 , 14.74
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 4,  8,  100,  1,  2,  16, 0 , 38.49
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
